LYLTY_CARD_NBR,DATE,STORE_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,PACK_SIZE,BRAND,LIFESTAGE,PREMIUM_CUSTOMER
77000,28/03/2019,77,74911,18,Cheetos Chs & Bacon Balls 190g,1,3.3,190,CHEETOS,MIDAGE SINGLES/COUPLES,Budget
77000,13/04/2019,77,74912,69,Smiths Chip Thinly  S/Cream&Onion 175g,1,3,175,SMITHS,MIDAGE SINGLES/COUPLES,Budget
77000,26/09/2018,77,74910,36,Kettle Chilli 175g,2,10.8,175,KETTLE,MIDAGE SINGLES/COUPLES,Budget
77001,27/02/2019,77,74913,7,Smiths Crinkle      Original 330g,2,11.4,330,SMITHS,YOUNG FAMILIES,Mainstream
77001,21/01/2019,77,74914,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,150,KETTLE,YOUNG FAMILIES,Mainstream
77002,17/05/2019,77,74915,63,Kettle 135g Swt Pot Sea Salt,1,4.2,135,KETTLE,RETIREES,Budget
77002,18/06/2019,77,74916,107,Smiths Crinkle Cut  French OnionDip 150g,2,5.2,150,SMITHS,RETIREES,Budget
77003,18/03/2019,77,74917,80,Natural ChipCo Sea  Salt & Vinegr 175g,1,3,175,NATURAL,OLDER FAMILIES,Mainstream
77004,18/07/2018,77,74918,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4,170,DORITOS,RETIREES,Budget
77004,26/07/2018,77,74919,46,Kettle Original 175g,2,10.8,175,KETTLE,RETIREES,Budget
77006,13/01/2019,77,74920,32,Kettle Sea Salt     And Vinegar 175g,2,10.8,175,KETTLE,YOUNG SINGLES/COUPLES,Mainstream
77006,26/06/2019,77,74921,15,Twisties Cheese     270g,1,4.6,270,TWISTIES,YOUNG SINGLES/COUPLES,Mainstream
77007,20/03/2019,77,74923,3,Kettle Sensations   Camembert & Fig 150g,2,9.2,150,KETTLE,OLDER SINGLES/COUPLES,Premium
77007,7/02/2019,77,74924,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,1,5.9,380,SMITHS,OLDER SINGLES/COUPLES,Premium
77007,8/09/2018,77,74922,1,Smiths Crinkle Cut  Chips Barbecue 170g,2,5.8,170,SMITHS,OLDER SINGLES/COUPLES,Premium
77008,5/08/2018,77,74925,37,Smiths Thinly       Swt Chli&S/Cream175G,2,6,175,SMITHS,OLDER FAMILIES,Budget
77009,9/02/2019,77,74926,51,Doritos Mexicana    170g,2,8.8,170,DORITOS,OLDER SINGLES/COUPLES,Budget
77009,29/03/2019,77,74927,79,Smiths Chip Thinly  CutSalt/Vinegr175g,2,6,175,SMITHS,OLDER SINGLES/COUPLES,Budget
77011,21/06/2019,77,74928,2,Cobs Popd Sour Crm  &Chives Chips 110g,1,3.8,110,COBS,OLDER FAMILIES,Mainstream
77014,27/03/2019,77,74929,83,WW D/Style Chip     Sea Salt 200g,2,3.8,200,WOOLWORTHS,OLDER FAMILIES,Mainstream
77014,7/06/2019,77,74930,22,Thins Chips         Originl saltd 175g,1,3.3,175,THINS,OLDER FAMILIES,Mainstream
77015,7/07/2018,77,74931,85,RRD Honey Soy       Chicken 165g,2,6,165,RRD,YOUNG FAMILIES,Premium
77016,28/05/2019,77,74932,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,110,COBS,OLDER SINGLES/COUPLES,Budget
77018,18/07/2018,77,74933,50,Tostitos Lightly    Salted 175g,1,4.4,175,TOSTITOS,OLDER SINGLES/COUPLES,Budget
77021,7/11/2018,77,74934,96,WW Original Stacked Chips 160g,2,3.8,160,WOOLWORTHS,YOUNG SINGLES/COUPLES,Premium
77023,17/05/2019,77,74935,110,WW Original Corn    Chips 200g,2,3.8,200,WOOLWORTHS,OLDER FAMILIES,Premium
77024,22/02/2019,77,74936,27,WW Supreme Cheese   Corn Chips 200g,1,1.9,200,WOOLWORTHS,NEW FAMILIES,Budget
77025,6/08/2018,77,74938,110,WW Original Corn    Chips 200g,1,1.9,200,WOOLWORTHS,RETIREES,Budget
77026,13/08/2018,77,74939,40,Thins Chips Seasonedchicken 175g,2,6.6,175,THINS,RETIREES,Budget
77026,30/01/2019,77,74940,56,Cheezels Cheese Box 125g,1,2.1,125,CHEEZELS,RETIREES,Budget
77028,3/10/2018,77,74941,23,Cheezels Cheese 330g,2,11.4,330,CHEEZELS,OLDER FAMILIES,Budget
77029,22/03/2019,77,74942,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,170,SMITHS,YOUNG SINGLES/COUPLES,Premium
77030,7/09/2018,77,74943,77,Doritos Corn Chips  Nacho Cheese 170g,1,4.4,170,DORITOS,YOUNG FAMILIES,Mainstream
77031,4/05/2019,77,74944,1,Smiths Crinkle Cut  Chips Barbecue 170g,2,5.8,170,SMITHS,YOUNG SINGLES/COUPLES,Budget
77032,24/06/2019,77,74946,38,Infuzions Mango     Chutny Papadums 70g,2,4.8,70,INFUZIONS,YOUNG SINGLES/COUPLES,Budget
77032,9/11/2018,77,74945,59,Old El Paso Salsa   Dip Tomato Med 300g,2,10.2,300,OLD,YOUNG SINGLES/COUPLES,Budget
77033,19/05/2019,77,74948,1,Smiths Crinkle Cut  Chips Barbecue 170g,1,2.9,170,SMITHS,OLDER FAMILIES,Mainstream
77033,29/10/2018,77,74947,36,Kettle Chilli 175g,1,5.4,175,KETTLE,OLDER FAMILIES,Mainstream
77035,6/02/2019,77,74950,40,Thins Chips Seasonedchicken 175g,1,3.3,175,THINS,RETIREES,Mainstream
77035,17/11/2018,77,74949,89,Kettle Sweet Chilli And Sour Cream 175g,2,10.8,175,KETTLE,RETIREES,Mainstream
77037,18/04/2019,77,74951,45,Smiths Thinly Cut   Roast Chicken 175g,1,3,175,SMITHS,YOUNG FAMILIES,Mainstream
77038,10/05/2019,77,74952,94,Burger Rings 220g,2,4.6,220,BURGER,RETIREES,Mainstream
77039,7/05/2019,77,74953,71,Twisties Cheese     Burger 250g,2,8.6,250,TWISTIES,YOUNG SINGLES/COUPLES,Mainstream
77040,22/08/2018,77,74954,111,Smiths Chip Thinly  Cut Original 175g,2,6,175,SMITHS,RETIREES,Mainstream
77043,8/01/2019,77,74955,58,Red Rock Deli Chikn&Garlic Aioli 150g,2,5.4,150,RRD,YOUNG SINGLES/COUPLES,Budget
77043,20/01/2019,77,74956,19,Smiths Crinkle Cut  Snag&Sauce 150g,2,5.2,150,SMITHS,YOUNG SINGLES/COUPLES,Budget
77044,6/08/2018,77,74957,29,French Fries Potato Chips 175g,1,3,175,FRENCH,YOUNG SINGLES/COUPLES,Mainstream
77044,24/08/2018,77,74958,101,Doritos Salsa       Medium 300g,1,2.6,300,DORITOS,YOUNG SINGLES/COUPLES,Mainstream
77044,24/05/2019,77,74959,51,Doritos Mexicana    170g,1,4.4,170,DORITOS,YOUNG SINGLES/COUPLES,Mainstream
77045,22/04/2019,77,74960,98,NCC Sour Cream &    Garden Chives 175g,1,3,175,NATURAL,MIDAGE SINGLES/COUPLES,Mainstream
77045,22/02/2019,77,74961,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,175,THINS,MIDAGE SINGLES/COUPLES,Mainstream
77046,4/05/2019,77,74962,99,Pringles Sthrn FriedChicken 134g,1,3.7,134,PRINGLES,YOUNG SINGLES/COUPLES,Mainstream
77048,22/10/2018,77,74963,102,Kettle Mozzarella   Basil & Pesto 175g,2,10.8,175,KETTLE,YOUNG SINGLES/COUPLES,Mainstream
77049,5/10/2018,77,74965,114,Kettle Sensations   Siracha Lime 150g,1,4.6,150,KETTLE,YOUNG SINGLES/COUPLES,Mainstream
77049,14/07/2018,77,74964,93,Doritos Corn Chip Southern Chicken 150g,1,3.9,150,DORITOS,YOUNG SINGLES/COUPLES,Mainstream
77049,20/11/2018,77,74966,77,Doritos Corn Chips  Nacho Cheese 170g,1,4.4,170,DORITOS,YOUNG SINGLES/COUPLES,Mainstream
77050,27/02/2019,77,74968,57,Old El Paso Salsa   Dip Tomato Mild 300g,2,10.2,300,OLD,RETIREES,Mainstream
77050,19/11/2018,77,74967,1,Smiths Crinkle Cut  Chips Barbecue 170g,1,2.9,170,SMITHS,RETIREES,Mainstream
77052,26/09/2018,77,74969,85,RRD Honey Soy       Chicken 165g,1,3,165,RRD,RETIREES,Mainstream
77053,5/07/2018,77,74970,41,Doritos Salsa Mild  300g,1,2.6,300,DORITOS,RETIREES,Mainstream
77053,5/11/2018,77,74971,66,CCs Nacho Cheese    175g,2,4.2,175,CCS,RETIREES,Mainstream
77054,14/04/2019,77,74972,98,NCC Sour Cream &    Garden Chives 175g,1,3,175,NATURAL,MIDAGE SINGLES/COUPLES,Premium
77056,4/11/2018,77,74973,50,Tostitos Lightly    Salted 175g,1,4.4,175,TOSTITOS,RETIREES,Budget
77057,5/12/2018,77,74974,36,Kettle Chilli 175g,2,10.8,175,KETTLE,OLDER SINGLES/COUPLES,Mainstream
77060,24/07/2018,77,74975,34,Pringles Slt Vingar 134g,2,7.4,134,PRINGLES,OLDER FAMILIES,Budget
77061,29/10/2018,77,74976,25,Pringles SourCream  Onion 134g,2,7.4,134,PRINGLES,MIDAGE SINGLES/COUPLES,Mainstream
77063,3/03/2019,77,74977,112,Tyrrells Crisps     Ched & Chives 165g,2,8.4,165,TYRRELLS,MIDAGE SINGLES/COUPLES,Budget
77065,21/10/2018,77,74978,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,175,KETTLE,OLDER FAMILIES,Budget
77066,20/05/2019,77,74981,76,Woolworths Medium   Salsa 300g,1,1.5,300,WOOLWORTHS,YOUNG SINGLES/COUPLES,Budget
77066,14/12/2018,77,74980,78,Thins Chips Salt &  Vinegar 175g,1,3.3,175,THINS,YOUNG SINGLES/COUPLES,Budget
